"MatchKey","Type","SetNum","MatchNum","MatchTeamKey","TeamNumber","Alliance","Position","match_scouter","auto__tarmac","auto__starting_position","auto__ball1","auto__ball2","auto__ball3","auto__ball4","auto__ball5","auto__inrobot","auto__highhub","auto__lowhub","teleop__highhub","teleop__lowhub","endgame__climb_position","endgame__climbtime","brownout","breakdown"
"2022orwil_qm26","qm",1,26,"frc4450",4450,"red",1,"",true,"1",false,false,false,false,false,false,0,0,1,0,"mid",12,false,false
"2022orwil_qm26","qm",1,26,"frc2898",2898,"red",2,,,,,,,,,,,,,,,,,
"2022orwil_qm26","qm",1,26,"frc2471",2471,"red",3,"casey",false,"4",false,false,false,false,false,false,0,1,3,2,"high",0,false,false
"2022orwil_qm26","qm",1,26,"frc6443",6443,"blue",1,"Emmet",false,"4",false,false,false,false,false,false,0,0,0,0,"mid",10,false,false
"2022orwil_qm26","qm",1,26,"frc753",753,"blue",2,"Sam W",true,"2",false,false,false,false,false,false,0,0,0,0,"none",0,true,false
"2022orwil_qm26","qm",1,26,"frc1425",1425,"blue",3,"aasha",true,"3",false,false,false,false,false,false,1,0,2,0,"none",0,false,false
"2022orwil_qm27","qm",1,27,"frc2374",2374,"red",1,"",false,"4",false,false,false,false,false,false,0,0,0,0,"none",0,false,false
"2022orwil_qm27","qm",1,27,"frc568",568,"red",2,"kateoy'm",false,"4",false,false,false,false,false,false,0,0,0,0,"mid",0,false,false
"2022orwil_qm27","qm",1,27,"frc2990",2990,"red",3,"casey",false,"1",true,false,false,false,false,false,1,0,4,0,"traverse",7,false,false
"2022orwil_qm27","qm",1,27,"frc2635",2635,"blue",1,"Emmet",false,"4",false,false,false,false,false,false,0,0,0,0,"none",0,true,false
"2022orwil_qm27","qm",1,27,"frc4057",4057,"blue",2,"Sam W",true,"4",false,false,false,false,false,false,0,0,0,6,"none",0,false,false
"2022orwil_qm27","qm",1,27,"frc3024",3024,"blue",3,"aasha",true,"2",false,false,false,false,false,false,0,0,4,0,"none",0,false,false
"2022orwil_qm28","qm",1,28,"frc2733",2733,"red",1,"",true,"2",false,false,false,false,false,false,0,0,0,0,"traverse",23,false,false
"2022orwil_qm28","qm",1,28,"frc5975",5975,"red",2,"katelyn",false,"1",false,false,false,false,false,false,0,0,0,0,"none",0,false,false
"2022orwil_qm28","qm",1,28,"frc1359",1359,"red",3,"casey",false,"4",false,false,true,false,false,false,0,1,0,7,"mid",3,false,false
"2022orwil_qm28","qm",1,28,"frc6343",6343,"blue",1,"Emmet",false,"3",false,false,false,false,false,false,0,0,0,2,"mid",5,false,false
"2022orwil_qm28","qm",1,28,"frc997",997,"blue",2,"Sam W",true,"4",false,false,false,false,false,false,0,1,0,0,"traverse",0,false,false
"2022orwil_qm28","qm",1,28,"frc6696",6696,"blue",3,"aasha",true,"2",false,false,false,false,false,false,0,0,0,0,"low",0,false,false
"2022orwil_qm29","qm",1,29,"frc4662",4662,"red",1,"",true,"2",false,false,false,false,false,false,0,0,0,0,"traverse",0,false,false
"2022orwil_qm29","qm",1,29,"frc1540",1540,"red",2,"katie",false,"4",false,false,false,false,false,false,2,0,3,0,"mid",0,false,false
"2022orwil_qm29","qm",1,29,"frc1425",1425,"red",3,"casey",false,"3",false,true,false,false,false,false,2,0,1,2,"none",0,false,false
"2022orwil_qm29","qm",1,29,"frc753",753,"blue",1,"Romqk",true,"2",false,false,false,false,false,false,1,0,0,0,"none",0,false,false
"2022orwil_qm29","qm",1,29,"frc5970",5970,"blue",2,"john",true,"4",false,false,false,false,false,false,0,0,0,7,"mid",0,false,false
"2022orwil_qm29","qm",1,29,"frc2915",2915,"blue",3,"aasha",true,"1",false,false,false,false,false,false,0,0,0,0,"none",0,false,false
"2022orwil_qm30","qm",1,30,"frc957",957,"red",1,"",false,"4",false,false,false,false,false,false,0,0,0,0,"mid",0,false,false
"2022orwil_qm30","qm",1,30,"frc3131",3131,"red",2,"alison",false,"1",false,false,false,false,false,false,0,0,0,0,"none",0,false,false
"2022orwil_qm30","qm",1,30,"frc2374",2374,"red",3,"casey",false,"4",false,false,false,false,false,false,0,0,0,0,"none",0,false,false
"2022orwil_qm30","qm",1,30,"frc3636",3636,"blue",1,"alex",false,"1",false,false,false,false,false,false,0,0,10,0,"traverse",0,false,false
"2022orwil_qm30","qm",1,30,"frc2898",2898,"blue",2,"john",true,"4",false,false,false,false,false,false,0,0,0,2,"mid",4,false,false
"2022orwil_qm30","qm",1,30,"frc2990",2990,"blue",3,"aasha",true,"4",false,false,false,false,false,false,1,0,2,0,"traverse",0,false,false
"2022orwil_qm31","qm",1,31,"frc3024",3024,"red",1,"",true,"2",false,false,false,false,false,false,0,0,2,0,"none",0,false,false
"2022orwil_qm31","qm",1,31,"frc997",997,"red",2,"alison",false,"1",false,false,false,false,false,false,0,1,0,0,"traverse",17,false,false
